"Timestamp","Station","tAirMax_C","tAirMin_C","relHum_prc","precip_mm","windAvg_m.s","windMax_m.s","tSoilMax_5cm","tSoilMin_5cm","tSoilMax_10cm","tSoilMin_10cm","solarRad_MJ.m2","EToGrass_mm","EToAlfalfa_mm"
"2020-01-01","Lane",14.0,-7.1,62.0,0,2.7,7.0,0.3,0.2,1.1,1.0,11.1,2.16,3.58
"2020-01-02","Lane",8.7,-1.9,77.6,0,3.5,9.3,1.6,0.3,1.9,1.0,9.3,1.27,1.98
"2020-01-03","Lane",8.4,-2.9,65.7,0,3.3,8.7,2.5,0.6,2.4,1.3,11.3,1.65,2.66
"2020-01-04","Lane",13.5,-5.4,67.2,0,4.0,9.8,3.1,0.8,2.8,1.5,10.5,2.40,3.93
"2020-01-05","Lane",8.8,-5.1,49.1,0,4.0,16.9,3.8,1.3,3.4,2.0,11.9,2.07,3.39
"2020-01-06","Lane",9.7,-7.4,58.4,0,4.2,15.4,1.9,0.8,2.5,1.6,11.2,2.29,3.75
"2020-01-07","Lane",14.8,-7.4,53.4,0,3.0,8.9,2.2,0.5,2.2,1.3,11.8,2.51,4.16
"2020-01-08","Lane",11.9,-6.2,51.6,0,4.1,11.4,2.0,0.6,2.2,1.4,8.8,2.46,4.02
"2020-01-09","Lane",11.9,-2.4,52.3,0,3.5,10.2,3.4,0.9,3.1,1.6,10.5,2.32,3.80
"2020-01-10","Lane",1.3,-11.1,86.9,0,5.8,15.9,2.2,0.7,2.7,1.6,2.8,0.70,1.06
"2020-01-11","Lane",0.1,-14.8,69.6,0,3.0,10.0,0.8,0.2,1.6,1.0,12.0,0.99,1.55
"2020-01-12","Lane",9.5,-12.6,67.3,0,2.5,7.1,0.2,0,1.0,0.8,11.4,1.67,2.70
"2020-01-13","Lane",11.6,-5.6,53.0,0,2.5,7.1,0.1,0,0.8,0.7,9.4,2.02,3.28
"2020-01-14","Lane",10.1,-7.5,61.3,0,3.2,11.3,0.1,0,0.7,0.7,12.3,1.82,2.92
"2020-01-15","Lane",7.2,-8.5,65.5,0,3.7,8.6,0.1,0,0.7,0.7,10.7,1.76,2.82
"2020-01-16","Lane",-4.7,-11.2,73.1,0,3.1,7.8,0.1,-0.1,0.7,0.5,3.1,0.66,0.99
"2020-01-17","Lane",8.8,-5.1,92.4,2.29,6.5,18.2,0,-0.1,0.6,0.5,4.8,1.49,2.33
"2020-01-18","Lane",5.3,-5.9,52.8,0,4.3,18.3,0,-0.1,0.6,0.6,10.2,1.89,3.03
"2020-01-19","Lane",5.6,-9.4,67.8,0,2.4,5.7,0,-0.1,0.6,0.5,12.4,1.25,1.93
"2020-01-20","Lane",3.8,-9.3,74.4,0,3.0,6.6,0,-0.1,0.6,0.5,12.9,1.12,1.70
"2020-01-21","Lane",5.3,-9.9,81.4,1.02,6.5,14.5,0,-0.2,0.5,0.4,5.2,1.46,2.30
"2020-01-22","Lane",15.0,-2.0,71.6,0,4.2,13.2,0.1,-0.1,0.7,0.4,12.3,2.71,4.36
"2020-01-23","Lane",9.9,-5.9,58.5,0,5.9,16.6,1.0,0,1.3,0.7,13.1,2.75,4.43
"2020-01-24","Lane",11.1,-8.1,64.0,0,2.3,5.9,0.9,0.2,1.1,0.7,12.0,1.81,2.85
"2020-01-25","Lane",12.1,-7.3,73.5,0,1.4,5.5,1.6,0.2,1.5,0.8,8.1,1.32,1.98
"2020-01-26","Lane",15.1,-3.1,56.2,0,2.6,8.6,3.0,0.3,2.5,0.9,12.0,2.33,3.70
"2020-01-27","Lane",5.8,-5.9,77.7,0,3.7,8.8,1.9,0.5,2.0,1.1,9.7,1.15,1.70
"2020-01-28","Lane",2.7,-4.6,92.3,7.37,3.3,8.8,1.9,1.0,1.9,1.4,7.6,0.65,0.87
"2020-01-29","Lane",4.2,-7.1,89.1,0.25,2.5,5.9,1.7,0.4,1.7,1.0,12.6,0.80,1.05
"2020-01-30","Lane",9.3,-3.3,76.5,0,3.2,8.5,3.6,0.7,3.0,1.2,12.0,1.58,2.37
"2020-01-31","Lane",10.2,-3.3,60.3,0,3.9,11.0,3.4,1.1,3.1,1.8,14.5,2.45,3.87
