TIMESTAMP,STATION,PRESSUREAVG,TEMP2MAVG,TEMP10MAVG,RELHUM2MAVG,VPDEFAVG,PRECIP,SRAVG,SR,WSPD2MAVG,SOILTMP5AVG655,SOILTMP10AVG655,SOILTMP20AVG655,SOILTMP50AVG655,VWC5CM,VWC10CM,VWC20CM,VWC50CM,PRECIP2
2019-01-02T08:00:00Z,Lane,91.94,-13.16,-12.83,77.52,0.05,0,1.52,0.01,3.9,-1.08,0.15,0.81,2.84,0.095,0.1907,0.3995,0.4192,NA
2019-01-02T09:00:00Z,Lane,91.97,-12.47,-12.33,74.33,0.06,0,102.57,0.37,4.19,-1.14,0.11,0.81,2.83,0.0939,0.1836,0.3989,0.4191,NA
2019-01-02T10:00:00Z,Lane,92,-11.24,-11.22,68.79,0.08,0,246.48,0.89,4.1,-1.17,0.06,0.79,2.83,0.0939,0.1772,0.399,0.4191,NA
2019-01-02T11:00:00Z,Lane,92.01,-9.38,-9.62,67.23,0.1,0,398.47,1.43,3.49,-1.15,-0.01,0.78,2.83,0.0939,0.1719,0.3987,0.4191,NA
2019-01-02T12:00:00Z,Lane,91.95,-6.73,-6.97,64.3,0.13,0,512.2,1.84,3.18,-1.06,-0.06,0.77,2.82,0.095,0.1681,0.3984,0.419,NA
2019-01-02T13:00:00Z,Lane,91.85,-4.08,-4.26,57.22,0.2,0,555.72,2,3.51,-0.92,-0.09,0.76,2.8,0.0959,0.1658,0.3984,0.4186,NA
2019-01-02T14:00:00Z,Lane,91.75,-2.31,-2.53,54.61,0.24,0,546.02,1.97,3.92,-0.78,-0.09,0.74,2.8,0.0972,0.1648,0.398,0.4186,NA
2019-01-02T15:00:00Z,Lane,91.66,-1.17,-1.43,57.03,0.24,1.27,477.44,1.72,3.07,-0.65,-0.09,0.73,2.79,0.0989,0.1642,0.3978,0.4186,NA
2019-01-02T16:00:00Z,Lane,91.64,-0.56,-0.72,63.69,0.21,0,351.51,1.27,2.38,-0.55,-0.07,0.72,2.79,0.1003,0.1648,0.3978,0.4186,NA
2019-01-02T17:00:00Z,Lane,91.64,-0.86,-0.64,67.36,0.19,0,186.9,0.67,1.83,-0.47,-0.06,0.71,2.78,0.1016,0.1653,0.3976,0.4186,NA
2019-01-02T18:00:00Z,Lane,91.65,-3.95,-2.27,77.67,0.11,0,30.9,0.11,1.46,-0.4,-0.05,0.7,2.78,0.1029,0.1659,0.3973,0.4186,NA
2019-01-02T19:00:00Z,Lane,91.69,-7.3,-2.4,84.38,0.06,0,0.01,0,1.98,-0.36,-0.03,0.69,2.76,0.1033,0.1667,0.3973,0.4182,NA
2019-01-02T20:00:00Z,Lane,91.72,-8.69,-2.89,85.23,0.05,0,0,0,2.04,-0.36,-0.02,0.69,2.75,0.103,0.1676,0.3973,0.4181,NA
2019-01-02T21:00:00Z,Lane,91.76,-9.81,-5.61,84.65,0.04,0,0,0,2.06,-0.42,-0.02,0.68,2.75,0.1019,0.1681,0.3976,0.4181,NA
2019-01-02T22:00:00Z,Lane,91.76,-9.88,-7.89,80.94,0.06,0,0.01,0,2.14,-0.51,-0.02,0.68,2.73,0.1007,0.1679,0.3973,0.4181,NA
2019-01-02T23:00:00Z,Lane,91.74,-10.21,-8.66,78.82,0.06,0,0,0,2.74,-0.62,-0.04,0.67,2.73,0.0995,0.167,0.3973,0.4181,NA
2019-01-03T00:00:00Z,Lane,91.71,-10.72,-8.81,77.25,0.06,0,0,0,2.31,-0.72,-0.06,0.66,2.72,0.0984,0.1656,0.3973,0.4179,NA
2019-01-03T01:00:00Z,Lane,91.74,-11.04,-8.96,78.21,0.06,0,0.04,0,2.25,-0.84,-0.08,0.66,2.72,0.0974,0.1635,0.397,0.4175,NA
2019-01-03T02:00:00Z,Lane,91.74,-11.18,-9.83,78.98,0.05,0,0,0,2.19,-0.94,-0.12,0.65,2.7,0.0967,0.1613,0.3963,0.4175,NA
2019-01-03T03:00:00Z,Lane,91.69,-11.82,-10.75,80.35,0.05,0,0,0,2.53,-1.03,-0.15,0.65,2.7,0.0957,0.1589,0.3962,0.4176,NA
2019-01-03T04:00:00Z,Lane,91.67,-12.74,-10.69,80.11,0.05,0,0,0,2.11,-1.12,-0.19,0.64,2.68,0.0951,0.1566,0.3962,0.4176,NA
2019-01-03T05:00:00Z,Lane,91.62,-12.43,-10.31,80.28,0.05,0,0,0,2.15,-1.22,-0.23,0.63,2.68,0.0948,0.1543,0.3958,0.4176,NA
2019-01-03T06:00:00Z,Lane,91.58,-11.79,-10.26,79.4,0.05,0,0.01,0,2.51,-1.31,-0.27,0.62,2.68,0.0939,0.1521,0.3956,0.4173,NA
2019-01-03T07:00:00Z,Lane,91.57,-12.05,-9.88,79.73,0.05,0,0,0,2.19,-1.38,-0.32,0.61,2.66,0.0934,0.1501,0.3955,0.417,NA
2019-01-03T08:00:00Z,Lane,91.59,-11.65,-9.19,79.36,0.05,0,1.14,0,2.12,-1.45,-0.36,0.6,2.66,0.0934,0.1483,0.395,0.417,NA
2019-01-03T09:00:00Z,Lane,91.61,-10.6,-8.83,76.44,0.07,0,75.23,0.27,1.88,-1.51,-0.4,0.58,2.65,0.0933,0.1467,0.3949,0.417,NA
2019-01-03T10:00:00Z,Lane,91.68,-7.94,-7.94,70.11,0.1,0,240.28,0.86,2.42,-1.54,-0.44,0.57,2.64,0.0929,0.1454,0.3945,0.417,NA
2019-01-03T11:00:00Z,Lane,91.71,-4.52,-4.69,63.88,0.16,0,392.93,1.41,1.61,-1.49,-0.47,0.55,2.64,0.0935,0.1446,0.3942,0.417,NA
2019-01-03T12:00:00Z,Lane,91.63,-1.72,-1.76,60.23,0.22,0.76,502.26,1.81,1.72,-1.32,-0.45,0.54,2.63,0.094,0.1443,0.3944,0.4169,NA
2019-01-03T13:00:00Z,Lane,91.52,1.04,1.12,56.83,0.29,0.76,550.85,1.98,1.65,-1.12,-0.42,0.53,2.63,0.0955,0.1448,0.3945,0.4165,NA
2019-01-03T14:00:00Z,Lane,91.42,1.94,1.93,56.69,0.31,0,541.61,1.95,3.07,-0.93,-0.37,0.51,2.62,0.0973,0.1454,0.3943,0.4165,NA
2019-01-03T15:00:00Z,Lane,91.37,3.35,3.38,52.31,0.37,0,471.89,1.7,1.87,-0.77,-0.32,0.5,2.61,0.0991,0.1464,0.394,0.4165,NA
2019-01-03T16:00:00Z,Lane,91.33,3.95,4.17,56.35,0.36,0,349.09,1.26,1.21,-0.63,-0.27,0.49,2.6,0.1009,0.1474,0.394,0.4165,NA
2019-01-03T17:00:00Z,Lane,91.33,1.81,2.76,69.45,0.22,0,186.74,0.67,1.59,-0.52,-0.23,0.48,2.61,0.1027,0.1484,0.394,0.4165,NA
2019-01-03T18:00:00Z,Lane,91.41,-0.54,1.72,80.19,0.12,0,31.58,0.11,1.39,-0.44,-0.19,0.48,2.58,0.1042,0.1494,0.394,0.4165,NA
2019-01-03T19:00:00Z,Lane,91.43,-3.65,1.35,87.42,0.06,0,0,0,1.92,-0.37,-0.16,0.47,2.58,0.1055,0.1503,0.3934,0.4162,NA
2019-01-03T20:00:00Z,Lane,91.42,-3.91,0.14,83.52,0.08,0,0.01,0,2.13,-0.33,-0.14,0.47,2.58,0.1066,0.1514,0.393,0.416,NA
