TIMESTAMP,STATION,PRESSUREAVG,TEMP2MAVG,TEMP10MAVG,RELHUM2MAVG,VPDEFAVG,PRECIP,PRECIP2,SRAVG,SR,WSPD2MAVG,SOILTMP5AVG655,SOILTMP10AVG655,SOILTMP20AVG655,SOILTMP50AVG655,VWC5CM,VWC10CM,VWC20CM,VWC50CM
2020-01-01T00:00:00Z,Lane,91.08,-2.66,-2.1,68.46,0.16,0,0,0,0,3.79,0.61,0.94,1.59,3.84,0.25207,0.2883,0.33326,0.28781
2020-01-01T01:00:00Z,Lane,90.94,-2.97,-2.53,72.94,0.13,0,0,0,0,4.19,0.62,0.94,1.58,3.83,0.25206,0.28796,0.33325,0.28781
2020-01-01T02:00:00Z,Lane,90.76,-3.9,-3.47,77.72,0.1,0,0,0.01,0,3.75,0.61,0.94,1.58,3.82,0.25112,0.2876,0.33325,0.28782
2020-01-01T03:00:00Z,Lane,90.64,-4.77,-4.38,81.56,0.08,0,0,0.01,0,3.92,0.61,0.93,1.57,3.81,0.24986,0.2873,0.33324,0.28781
2020-01-01T04:00:00Z,Lane,90.52,-4.36,-4.03,79.92,0.09,0,0,0,0,4.55,0.61,0.92,1.56,3.8,0.24901,0.28673,0.33324,0.28783
2020-01-01T05:00:00Z,Lane,90.44,-4.63,-4.36,81.04,0.08,0,0,0,0,4.56,0.59,0.92,1.56,3.78,0.24699,0.28599,0.33323,0.28782
2020-01-01T06:00:00Z,Lane,90.36,-6,-5.78,84.27,0.06,0,0,0.01,0,3.47,0.59,0.91,1.55,3.79,0.24528,0.28523,0.33367,0.28782
2020-01-01T07:00:00Z,Lane,90.27,-6.76,-6.52,85.3,0.05,0,0,0,0,3.16,0.57,0.91,1.54,3.77,0.24361,0.28456,0.33371,0.28784
2020-01-01T08:00:00Z,Lane,90.18,-6.35,-6.05,80.97,0.07,0,0,1.46,0.01,3.66,0.57,0.9,1.54,3.76,0.24177,0.28377,0.33387,0.28785
2020-01-01T09:00:00Z,Lane,90.17,-5.83,-5.71,78.5,0.09,0,0,80.47,0.29,3.83,0.55,0.89,1.53,3.75,0.24015,0.28295,0.3339,0.28779
2020-01-01T10:00:00Z,Lane,90.15,-3.36,-3.52,71.78,0.14,0,0,236.82,0.85,4.37,0.54,0.87,1.52,3.74,0.23882,0.2822,0.3339,0.28747
2020-01-01T11:00:00Z,Lane,90.13,-0.06,-0.3,62.98,0.23,0,0,377.08,1.36,3.66,0.53,0.87,1.51,3.74,0.23768,0.28146,0.3339,0.28742
2020-01-01T12:00:00Z,Lane,90.02,4.07,3.74,52.77,0.39,0,0,475.04,1.71,2.41,0.52,0.86,1.5,3.72,0.23703,0.28094,0.33389,0.28734
2020-01-01T13:00:00Z,Lane,89.93,7.2,6.87,44.79,0.56,0,0,532.76,1.92,2.46,0.52,0.86,1.5,3.72,0.23703,0.28042,0.33388,0.28732
2020-01-01T14:00:00Z,Lane,89.81,10.25,9.87,37.28,0.78,0,0,516.84,1.86,2.09,0.52,0.85,1.5,3.71,0.23701,0.28008,0.33389,0.28715
2020-01-01T15:00:00Z,Lane,89.76,12.21,11.98,33.53,0.95,0,0,434.19,1.56,2.46,0.53,0.85,1.49,3.7,0.23722,0.27952,0.33388,0.28714
2020-01-01T16:00:00Z,Lane,89.77,13.21,13.26,30.67,1.05,0,0,341.61,1.23,2.35,0.52,0.85,1.47,3.69,0.23788,0.2794,0.33387,0.28715
2020-01-01T17:00:00Z,Lane,89.85,11.89,12.65,32.37,0.95,0,0,76.52,0.28,1.46,0.52,0.85,1.47,3.68,0.2388,0.27987,0.33387,0.28715
2020-01-01T18:00:00Z,Lane,89.91,9.16,10.76,38.22,0.72,0,0,7.47,0.03,0.53,0.53,0.85,1.46,3.67,0.2413,0.2817,0.33386,0.28717
2020-01-01T19:00:00Z,Lane,89.94,6.29,8.06,45.69,0.52,0,0,0,0,1.9,0.52,0.85,1.46,3.66,0.24588,0.28415,0.33386,0.28718
2020-01-01T20:00:00Z,Lane,89.98,4.57,6.39,53.42,0.39,0,0,0,0,1.12,0.53,0.85,1.46,3.66,0.25061,0.28632,0.33386,0.28717
2020-01-01T21:00:00Z,Lane,89.99,4.13,6.2,57.75,0.35,0,0,0,0,1.03,0.53,0.85,1.45,3.65,0.25383,0.2881,0.33385,0.2872
2020-01-01T22:00:00Z,Lane,89.95,3.76,6.07,57.85,0.34,0,0,0,0,1.38,0.53,0.85,1.45,3.64,0.25578,0.28948,0.33385,0.2872
2020-01-01T23:00:00Z,Lane,89.95,1.94,5.43,68.51,0.22,0,0,0,0,1.74,0.53,0.85,1.45,3.64,0.25715,0.29067,0.33389,0.28721
2020-01-02T00:00:00Z,Lane,89.96,0.66,4.05,77.73,0.14,0,0,0,0,1.64,0.53,0.86,1.45,3.63,0.25788,0.2914,0.33447,0.28721
2020-01-02T01:00:00Z,Lane,89.96,0.64,1.64,78.29,0.14,0,0,0,0,2.43,0.54,0.86,1.44,3.62,0.2585,0.29181,0.33446,0.28721
2020-01-02T02:00:00Z,Lane,89.96,0.2,1.09,81.56,0.11,0,0,0,0,1.96,0.54,0.86,1.44,3.61,0.2585,0.29249000000000003,0.33478,0.28721
2020-01-02T03:00:00Z,Lane,90.02,0.37,1.65,83.83,0.1,0,0,0,0,2.43,0.54,0.86,1.44,3.61,0.2585,0.29249000000000003,0.3351,0.28721
2020-01-02T04:00:00Z,Lane,90.07,0.16,1.24,86.2,0.09,0,0,0,0,2.63,0.55,0.86,1.44,3.6,0.25804,0.2925,0.33508,0.28723
2020-01-02T05:00:00Z,Lane,90.08,-0.95,0.05,89.91,0.06,0,0,0,0,2.03,0.55,0.87,1.44,3.59,0.25779,0.2925,0.33565,0.28723
2020-01-02T06:00:00Z,Lane,90.09,-1.55,-0.04,91.14,0.05,0,0,0,0,2.06,0.56,0.87,1.44,3.58,0.25722,0.2925,0.33574,0.28723
2020-01-02T07:00:00Z,Lane,90.16,-1.16,-0.43,85.92,0.08,0,0,0,0,2.6,0.56,0.87,1.43,3.58,0.25634,0.29196,0.33573,0.28724
2020-01-02T08:00:00Z,Lane,90.22,-0.95,0.14,80.41,0.11,0,0,0.91,0,2.52,0.56,0.87,1.43,3.57,0.2557,0.29181,0.33631,0.28724
2020-01-02T09:00:00Z,Lane,90.3,-1.04,-0.4,81.34,0.11,0,0,54.89,0.2,2.78,0.56,0.87,1.43,3.57,0.25532,0.29131,0.33636,0.28719
2020-01-02T10:00:00Z,Lane,90.43,1.69,1.81,74.26,0.18,0,0,213.81,0.77,4.14,0.56,0.87,1.42,3.55,0.25524,0.29113,0.33636,0.28693
