"Timestamp","Station","AirTemperature","AirTemperature","RelativeHumidity","Precipitation","WindSpeed2m","WindSpeed2m","SoilTemperature5cm","SoilTemperature5cm","SoilTemperature10cm","SoilTemperature10cm","SolarRadiation","ETo","ETo"
"","","max","min","avg","total","avg","max","max","min","max","min","total","grass","alfalfa"
"","","°C","°C","%","mm","m/s","m/s","°C","°C","°C","°C","MJ/m²","mm","mm"
"2017-01-01","Lane",9.2,-4.9,62.4,0,4.3,11.1,1.5,-0.1,1.4,0.4,9.2,1.67,2.68
"2017-01-02","Lane",2.4,-6.4,96.0,0,3.2,9.5,0.3,0,0.9,0.5,3.8,0.43,0.56
"2017-01-03","Lane",-2.3,-14.4,60.5,0,4.2,11.1,0.1,-1.6,0.7,0.1,10.6,0.99,1.57
"2017-01-04","Lane",-5.3,-17.6,65.4,0,2.9,8.9,-1.2,-4.9,0.1,-2.2,9.9,0.72,1.12
"2017-01-05","Lane",-10.8,-21.1,73.4,2.29,3.1,7.1,-2.6,-4.3,-1.5,-2.5,4.5,0.44,0.66
"2017-01-06","Lane",-4.1,-21.1,66.4,0,2.4,6.1,-2.2,-3.3,-1.7,-2.2,10.4,0.79,1.25
"2017-01-07","Lane",-2.0,-20.6,69.1,0.25,2.3,5.0,-2.4,-4.4,-2.0,-2.9,11.2,0.75,1.16
"2017-01-08","Lane",9.6,-13.2,76.5,0,3.3,9.8,-1.0,-3.8,-1.1,-2.7,10.0,1.50,2.40
"2017-01-09","Lane",12.6,-5.3,72.3,0,4.9,11.2,-0.4,-2.7,-0.7,-1.8,4.9,1.99,3.17
"2017-01-10","Lane",13.8,1.1,43.8,0,5.6,13.1,3.8,-0.4,1.5,-0.7,10.0,3.34,5.48
"2017-01-11","Lane",9.5,-11.6,65.3,0,3.9,9.6,0.9,-0.2,0.6,0,5.6,1.80,2.88
"2017-01-12","Lane",-4.7,-14.2,71.7,0,1.8,7.0,-0.1,-2.9,0.1,-1.0,5.2,0.54,0.78
"2017-01-13","Lane",-4.3,-10.3,64.5,0,1.2,4.4,-1.1,-3.4,-1.0,-1.9,5.2,0.53,0.74
"2017-01-14","Lane",3.5,-6.6,68.2,0.76,1.4,6.8,-0.5,-2.3,-0.6,-1.4,6.0,0.81,1.18
"2017-01-15","Lane",-1.0,-1.9,97.8,9.40,1.2,4.0,-0.2,-0.5,-0.3,-0.6,2.0,0.35,0.37
"2017-01-16","Lane",0.7,-1.7,97.4,14.99,1.8,7.7,-0.1,-0.2,-0.1,-0.3,5.9,0.43,0.50
"2017-01-17","Lane",7.5,-1.7,78.0,0,2.2,4.8,-0.1,-0.1,0.1,-0.1,10.3,1.22,1.84
"2017-01-18","Lane",10.4,-3.2,89.7,0,3.3,9.5,0.6,-0.1,0.6,0.1,7.6,0.91,1.29
"2017-01-19","Lane",6.4,3.6,90.9,0,2.4,8.2,3.7,0.6,2.9,0.6,2.0,0.64,0.85
"2017-01-20","Lane",4.5,-0.6,90.8,0,2.2,7.0,3.7,1.4,3.0,1.8,2.5,0.60,0.79
"2017-01-21","Lane",10.5,-4.6,82.1,0,2.7,10.4,5.6,0.6,4.0,1.2,11.3,1.35,2.03
"2017-01-22","Lane",10.8,-3.1,73.1,0,3.2,9.4,5.6,1.0,4.2,1.8,12.2,1.83,2.87
"2017-01-23","Lane",14.5,-4.7,71.8,0,3.5,10.6,5.5,0.8,4.1,1.5,12.3,2.36,3.76
"2017-01-24","Lane",2.4,-4.7,86.6,0,4.3,10.4,2.2,0.8,3.0,1.6,2.6,0.71,1.03
"2017-01-25","Lane",1.6,-10.1,69.5,0,5.2,11.8,0.8,0.1,1.6,0.8,12.2,1.32,2.06
"2017-01-26","Lane",6.2,-11.4,59.5,0,3.3,11.1,0.1,-1.6,0.8,0.2,12.9,1.91,3.04
"2017-01-27","Lane",7.4,-9.6,54.0,0,4.2,11.4,-0.1,-1.8,0.3,0,13.1,2.18,3.48
"2017-01-28","Lane",10.6,-4.7,49.8,0,4.7,13.0,-0.1,-0.6,0.2,0.1,11.0,2.60,4.16
"2017-01-29","Lane",17.9,-2.0,39.9,0,4.8,15.4,2.5,-0.1,1.7,0.2,13.1,4.31,7.07
"2017-01-30","Lane",21.0,-2.8,40.0,0,3.1,10.5,6.5,0.2,4.2,0.7,12.8,3.86,6.35
"2017-01-31","Lane",13.4,-4.2,50.8,0,2.7,8.9,5.8,0.6,4.0,1.3,12.1,2.41,3.82
"2017-02-01","Lane",3.9,-5.0,71.2,0,3.9,8.9,4.2,0.9,3.1,1.6,9.5,1.30,1.96
"2017-02-02","Lane",-3.9,-7.6,59.8,0,2.8,5.9,1.3,0.4,2.1,1.1,4.3,0.89,1.34
"2017-02-03","Lane",1.7,-11.3,58.9,0,3.3,11.6,0.4,-0.1,1.1,0.6,12.1,1.35,2.06
"2017-02-04","Lane",21.5,-4.7,42.5,0,5.0,14.6,4.2,0,2.7,0.6,13.9,5.17,8.46
"2017-02-05","Lane",13.2,-6.6,62.7,0,2.0,6.9,5.4,0.4,3.6,1.0,11.8,1.90,2.87
"2017-02-06","Lane",21.2,-4.0,76.4,0,2.1,7.0,7.5,0.8,5.1,1.4,11.7,2.96,4.67
"2017-02-07","Lane",22.5,-5.9,55.5,0,3.6,10.1,8.9,1.4,6.3,2.3,13.7,4.70,7.67
"2017-02-08","Lane",2.5,-10.5,69.7,0,2.5,11.1,4.1,0.9,4.6,2.0,13.1,1.22,1.78
"2017-02-09","Lane",15.5,-8.6,54.2,0,5.5,10.7,4.9,0.4,3.7,1.4,13.7,3.57,5.70
"2017-02-10","Lane",30.6,2.8,37.3,0,3.8,9.9,9.9,2.5,7.4,3.0,11.3,6.41,10.55
"2017-02-11","Lane",18.8,3.7,53.9,0,2.8,9.3,10.3,5.0,8.2,5.4,10.1,2.95,4.58
"2017-02-12","Lane",10.1,-0.6,38.0,0,3.5,11.8,9.1,4.9,7.7,5.7,13.0,2.78,4.35
"2017-02-13","Lane",5.4,0.5,66.0,1.27,3.0,8.1,5.3,4.3,6.2,5.0,3.4,1.40,2.11
"2017-02-14","Lane",11.9,-4.4,59.2,0,4.0,13.5,7.0,2.5,5.9,3.7,11.5,2.61,4.06
"2017-02-15","Lane",16.8,-6.7,55.4,0,3.1,7.1,9.0,1.2,6.7,2.7,15.9,3.21,5.00
"2017-02-16","Lane",24.7,-4.2,39.9,0,3.3,11.0,11.1,2.0,8.4,3.5,16.3,5.15,8.35
"2017-02-17","Lane",22.9,-6.4,43.3,0,2.7,8.7,11.2,2.8,8.7,4.4,16.5,4.21,6.70
"2017-02-18","Lane",21.8,-3.4,54.0,0,3.0,8.8,10.6,3.4,8.7,4.8,13.8,3.91,6.15
"2017-02-19","Lane",23.3,5.6,64.4,0,6.5,15.2,12.5,6.6,10.3,7.0,14.0,4.68,7.33
"2017-02-20","Lane",18.9,-0.4,42.6,0,4.7,15.2,12.4,7.5,10.6,8.3,16.5,4.51,7.14
"2017-02-21","Lane",26.3,-4.6,35.8,0,2.7,9.9,13.8,4.7,11.0,6.4,17.1,4.94,7.88
"2017-02-22","Lane",22.9,4.2,32.3,0,2.7,10.3,15.0,7.4,12.2,8.2,17.3,4.27,6.66
"2017-02-23","Lane",15.4,-2.5,67.9,0,5.2,13.4,12.5,7.8,11.0,8.8,15.4,2.94,4.44
"2017-02-24","Lane",3.3,-13.3,66.1,0,5.0,11.5,7.8,3.4,9.1,5.9,9.2,1.55,2.36
"2017-02-25","Lane",8.6,-15.2,55.1,0,3.0,10.6,7.8,1.5,6.7,3.6,16.8,2.33,3.53
"2017-02-26","Lane",9.6,-13.2,46.9,0,2.1,7.4,8.7,1.4,7.0,3.3,18.0,2.22,3.27
"2017-02-27","Lane",17.5,-7.9,44.9,0,3.7,12.3,9.2,1.6,7.5,3.4,17.0,4.08,6.39
"2017-02-28","Lane",13.2,-4.4,44.7,0,4.2,13.6,9.6,3.9,8.1,5.1,14.9,3.28,5.05
"2017-03-01","Lane",10.6,-8.1,33.4,0,4.9,13.3,8.6,3.3,7.4,4.8,18.8,3.51,5.46
"2017-03-02","Lane",13.2,-11.9,34.4,0,1.6,7.4,10.1,1.3,7.8,3.3,18.7,2.53,3.70
