"Timestamp","Station","AirTemperature","AirTemperature","RelativeHumidity","Precipitation","WindSpeed2m","WindSpeed2m","SoilTemperature5cm","SoilTemperature5cm","SoilTemperature10cm","SoilTemperature10cm","SolarRadiation","ETo","ETo"
"","","max","min","avg","total","avg","max","max","min","max","min","total","grass","alfalfa"
"","","°C","°C","%","mm","m/s","m/s","°C","°C","°C","°C","MJ/m²","mm","mm"
"2018-01-01","Lane",-8.4,-18.7,55.9,0,3.1,9.1,-2.6,-6.7,-2.4,-4.4,9.1,0.63,0.99
"2018-01-02","Lane",-0.5,-17.8,47.5,0,2.5,6.7,-1.4,-6.9,-1.9,-4.5,10.3,1.03,1.64
"2018-01-03","Lane",8.0,-9.9,46.6,0,2.4,6.2,1.1,-5.1,-0.8,-3.5,10.3,1.56,2.53
"2018-01-04","Lane",11.9,-12.0,52.4,0,1.8,6.0,2.0,-4.1,-0.4,-2.4,10.4,1.70,2.80
"2018-01-05","Lane",9.2,-10.4,64.1,0,2.6,7.0,1.8,-3.8,-0.3,-2.1,9.0,1.47,2.36
"2018-01-06","Lane",6.9,-12.8,57.8,0,2.5,7.8,0.7,-3.8,-0.3,-1.9,8.2,1.44,2.31
"2018-01-07","Lane",13.6,-6.2,57.7,0,3.9,13.9,3.2,-1.9,0.1,-1.0,9.6,2.51,4.10
"2018-01-08","Lane",15.5,-8.2,53.8,0,3.4,8.8,3.6,-2.2,0.4,-0.8,8.8,2.71,4.45
"2018-01-09","Lane",19.0,0.2,45.1,0,2.9,9.0,7.5,0.3,3.0,0.2,10.1,2.92,4.83
"2018-01-10","Lane",21.6,-1.4,45.9,0,4.3,20.5,7.2,-0.8,3.7,-0.2,7.5,4.08,6.73
"2018-01-11","Lane",0.8,-16.7,71.6,0,6.4,18.5,3.9,-3.5,2.8,-0.5,10.9,1.11,1.75
"2018-01-12","Lane",-6.9,-17.9,73.9,0,2.8,6.5,-1.0,-4.8,-0.5,-1.7,5.7,0.52,0.78
"2018-01-13","Lane",-0.7,-12.5,75.9,0,2.7,6.6,0.6,-3.7,-0.4,-1.9,8.6,0.73,1.10
"2018-01-14","Lane",11.8,-5.1,65.0,0,2.8,7.4,3.8,-1.9,0.4,-0.9,10.8,1.78,2.83
"2018-01-15","Lane",2.6,-18.3,67.3,0,5.9,13.6,0,-5.0,0.1,-1.7,5.4,1.57,2.52
"2018-01-16","Lane",-5.5,-19.5,55.1,0,3.0,7.7,-0.8,-7.2,-1.2,-3.7,11.6,0.92,1.45
"2018-01-17","Lane",5.8,-16.8,48.3,0,3.1,6.8,1.1,-6.4,-0.7,-3.8,11.6,1.68,2.71
"2018-01-18","Lane",17.9,-9.8,38.1,0,3.0,7.5,3.8,-4.3,0,-2.6,10.2,3.43,5.70
"2018-01-19","Lane",21.8,-4.7,31.2,0,2.8,7.5,5.3,-1.8,1.0,-0.7,8.6,3.94,6.58
"2018-01-20","Lane",14.4,-6.5,56.5,0,2.4,6.5,6.4,-1.7,2.0,-0.1,11.6,2.08,3.33
"2018-01-21","Lane",1.2,-2.4,98.2,0,4.8,15.6,0.9,-1.0,0.3,-0.2,1.8,0.48,0.65
"2018-01-22","Lane",3.4,-5.8,73.8,0.25,9.2,19.2,1.7,-1.6,0.6,-0.3,11.6,1.54,2.41
"2018-01-23","Lane",7.5,-10.1,67.3,0,3.5,9.0,3.2,-3.2,0.3,-0.7,12.1,1.63,2.56
"2018-01-24","Lane",14.2,-10.8,52.8,0,3.5,12.0,4.1,-3.6,0.6,-1.1,12.3,2.94,4.80
"2018-01-25","Lane",21.2,-7.1,35.9,0,5.6,15.2,5.9,-2.4,1.7,-0.5,12.5,5.82,9.66
"2018-01-26","Lane",13.3,-7.9,49.4,0,5.9,15.1,6.2,-1.3,3.1,-0.1,11.8,3.30,5.34
"2018-01-27","Lane",12.3,-10.5,45.6,0,2.6,6.7,5.5,-3.1,2.2,-0.5,12.7,2.44,3.96
"2018-01-28","Lane",9.3,-10.8,50.9,0,3.1,9.1,4.5,-3.1,1.7,-0.5,11.2,2.05,3.26
"2018-01-29","Lane",12.9,-10.9,60.4,0,2.6,8.5,6.0,-2.5,3.2,-0.1,12.4,2.15,3.39
"2018-01-30","Lane",22.0,-1.2,37.4,0,3.6,8.4,8.9,-0.1,5.4,0.7,10.3,4.55,7.50
"2018-01-31","Lane",9.9,-3.5,55.8,0,3.1,13.0,8.9,1.5,5.8,2.3,10.4,1.90,2.94
"2018-02-01","Lane",0,-9.7,82.7,0,2.5,7.4,2.1,-2.0,3.4,0.4,2.9,0.58,0.80
"2018-02-02","Lane",12.0,-9.5,51.4,0,4.8,12.7,5.5,-2.7,3.2,-0.2,12.8,2.85,4.56
"2018-02-03","Lane",17.7,-6.7,48.6,0.25,3.7,11.3,9.5,-1.2,5.9,0.5,13.0,3.20,5.11
"2018-02-04","Lane",2.1,-12.2,71.1,0,4.9,13.8,4.0,-2.7,4.4,0.2,9.6,1.26,1.93
"2018-02-05","Lane",13.6,-11.4,61.1,0,6.5,17.4,4.2,-3.0,1.9,-0.4,12.5,2.99,4.76
"2018-02-06","Lane",-7.3,-19.4,81.4,0,2.1,5.4,-0.2,-1.7,0.5,0,7.2,0.51,0.71
"2018-02-07","Lane",1.3,-19.0,79.5,4.57,1.7,5.3,-0.1,-2.0,0,-0.3,14.7,0.80,1.06
"2018-02-08","Lane",16.5,-8.0,64.5,0,2.1,4.7,4.9,-1.5,2.1,-0.3,12.4,2.35,3.62
"2018-02-09","Lane",3.6,-12.2,78.5,0,6.1,14.6,0.8,-3.4,1.3,-0.4,5.2,1.23,1.91
"2018-02-10","Lane",-10.5,-16.0,80.4,0,4.0,8.3,-2.5,-5.0,-0.4,-1.5,4.0,0.41,0.58
"2018-02-11","Lane",4.4,-15.9,61.4,0.76,2.6,7.1,3.0,-4.4,-0.1,-1.9,15.5,1.61,2.43
"2018-02-12","Lane",4.0,-11.8,48.0,0,5.6,13.4,1.0,-4.8,-0.3,-2.0,10.0,2.16,3.42
"2018-02-13","Lane",16.3,-4.2,47.2,0.25,4.0,9.5,7.1,-2.1,1.8,-0.8,14.2,3.59,5.70
"2018-02-14","Lane",21.3,-2.2,44.0,0,2.5,8.0,9.6,-0.8,4.1,-0.1,10.2,3.56,5.65
"2018-02-15","Lane",14.6,-1.0,46.7,0,4.4,13.9,9.1,1.7,5.8,1.9,9.2,3.05,4.79
"2018-02-16","Lane",3.5,-9.7,58.4,0,4.4,12.7,7.2,-1.2,4.6,1.0,13.7,1.71,2.59
"2018-02-17","Lane",13.1,-5.4,38.3,0,4.6,14.8,9.5,-0.8,6.0,1.0,16.2,3.50,5.52
"2018-02-18","Lane",26.3,1.8,29.8,0,7.4,16.7,11.7,2.2,7.9,3.0,12.2,8.27,13.54
"2018-02-19","Lane",1.8,-9.3,76.9,0,5.4,12.3,6.7,0.1,6.6,2.3,10.0,1.22,1.80
"2018-02-20","Lane",-3.4,-12.9,56.4,0,6.0,11.9,3.3,-2.9,2.4,0.1,16.7,1.36,2.03
"2018-02-21","Lane",-2.9,-16.1,50.0,0,2.1,5.5,1.7,-4.4,0.2,-0.8,10.3,1.04,1.52
"2018-02-22","Lane",-0.3,-7.7,73.9,0,2.9,7.6,1.1,-1.8,0.6,-0.2,5.6,1.05,1.53
"2018-02-23","Lane",1.8,-3.9,87.5,0,2.4,7.8,4.5,-0.8,2.5,0,8.4,0.95,1.26
"2018-02-24","Lane",9.0,-9.5,64.7,0,3.6,13.1,5.9,-1.4,3.7,0.5,12.4,2.49,3.84
"2018-02-25","Lane",9.9,-13.1,39.7,0,2.0,9.4,8.1,-3.3,4.4,-0.3,15.3,2.24,3.37
"2018-02-26","Lane",19.5,-10.0,27.3,0,5.5,14.6,9.2,-2.8,5.5,-0.2,17.9,5.84,9.42
"2018-02-27","Lane",23.5,-0.5,21.3,0,4.5,11.8,13.7,1.9,8.8,2.6,17.0,6.15,9.91
"2018-02-28","Lane",9.2,-5.7,67.6,0,4.3,8.9,7.5,1.3,6.3,3.0,7.7,1.91,2.90
"2018-03-01","Lane",12.3,-10.3,45.3,0,3.1,10.2,11.5,-1.6,7.5,1.1,18.1,2.99,4.53
