"Timestamp","Station","AirTemperature","AirTemperature","RelativeHumidity","Precipitation","WindSpeed2m","WindSpeed2m","SoilTemperature5cm","SoilTemperature5cm","SoilTemperature10cm","SoilTemperature10cm","SolarRadiation","ETo","ETo"
"","","max","min","avg","total","avg","max","max","min","max","min","total","grass","alfalfa"
"","","°C","°C","%","mm","m/s","m/s","°C","°C","°C","°C","MJ/m²","mm","mm"
"2016-01-01","Lane",6.2,-12.6,63.3,0,3.6,9.9,M,M,-0.3,-1.8,10.8,1.68,2.75
"2016-01-02","Lane",10.1,-12.0,52.4,0,3.5,8.9,M,M,-0.2,-2.0,10.9,2.29,3.79
"2016-01-03","Lane",9.4,-8.7,54.3,0,2.2,6.0,M,M,-0.2,-1.2,10.8,1.58,2.57
"2016-01-04","Lane",7.5,-10.6,70.0,0,3.9,9.8,-30.8,M,-0.1,M,10.3,1.58,2.55
"2016-01-05","Lane",7.3,-3.4,77.5,0,7.4,14.7,M,M,-0.1,-0.6,5.6,1.66,2.64
"2016-01-06","Lane",7.6,-3.4,87.8,0,2.3,9.8,M,M,0,-0.1,8.4,0.84,1.21
"2016-01-07","Lane",1.8,-2.8,100.0,6.86,3.5,6.7,31.3,M,0.1,M,2.1,0.24,0.24
"2016-01-08","Lane",0.2,-4.1,93.0,0,4.9,9.0,M,M,0.2,-28.1,2.0,0.46,0.63
"2016-01-09","Lane",-2.1,-11.0,82.1,0,4.4,10.0,M,M,0.2,M,7.8,0.71,1.08
"2016-01-10","Lane",5.2,-13.5,80.7,0,3.1,9.1,M,M,0,-1.8,11.0,1.08,1.67
"2016-01-11","Lane",9.0,-7.9,65.7,0,3.8,11.4,M,M,-0.2,-1.5,10.4,1.92,3.10
"2016-01-12","Lane",9.4,-9.4,55.1,0,2.1,5.3,M,M,-0.2,-1.6,11.6,1.65,2.68
"2016-01-13","Lane",14.2,-7.0,54.2,0,3.2,6.7,M,M,-0.2,-1.0,11.5,2.61,4.30
"2016-01-14","Lane",16.2,-5.5,48.5,0.51,5.0,12.7,0.5,-0.1,M,M,11.5,3.80,6.30
"2016-01-15","Lane",6.1,-5.6,74.3,0,1.9,5.8,0,-0.1,0.2,0.1,8.1,0.99,1.46
"2016-01-16","Lane",6.8,-8.4,67.7,0,2.8,9.0,0,-0.3,0.2,0.1,11.0,1.53,2.43
"2016-01-17","Lane",-5.1,-11.0,79.9,0,3.2,8.7,0,-1.8,0.2,-0.2,4.5,0.54,0.78
"2016-01-18","Lane",1.9,-8.5,84.1,0,4.5,8.2,-0.5,-2.1,-0.2,-0.7,6.1,0.84,1.27
"2016-01-19","Lane",1.6,-8.1,94.9,0,3.0,8.0,-0.4,-1.4,-0.2,-0.4,3.8,0.57,0.79
"2016-01-20","Lane",2.7,-8.4,94.2,0,3.0,10.1,-0.5,-2.3,-0.3,-1.0,3.4,0.50,0.67
"2016-01-21","Lane",1.4,-10.2,84.6,0,5.2,12.6,-0.5,-1.8,-0.3,-0.7,4.2,0.82,1.24
"2016-01-22","Lane",0.1,-10.8,92.5,0,2.5,6.6,-0.5,-2.6,-0.4,-1.2,3.9,0.49,0.66
"2016-01-23","Lane",10.0,-5.8,80.9,0,3.4,8.2,-0.2,-1.6,-0.2,-0.8,9.9,1.70,2.64
"2016-01-24","Lane",15.3,-5.7,75.6,0,2.3,8.9,0.4,-0.6,-0.1,-0.2,9.6,2.08,3.28
"2016-01-25","Lane",5.3,-5.7,73.6,0,6.1,16.1,0.4,-0.1,0,-0.1,5.3,1.40,2.18
"2016-01-26","Lane",8.2,-8.8,63.8,0,3.1,7.8,0.3,-0.7,0.1,0,12.9,1.85,2.92
"2016-01-27","Lane",15.8,-8.5,52.9,0,3.4,9.5,1.1,-1.0,0.1,0,12.4,3.17,5.17
"2016-01-28","Lane",18.4,-4.3,54.6,0,3.6,9.9,3.5,-0.1,0.5,0,13.0,3.39,5.49
"2016-01-29","Lane",17.9,-3.9,59.5,0,4.3,14.5,4.7,-0.1,2.0,0.1,11.1,3.55,5.74
"2016-01-30","Lane",16.8,-3.2,68.2,0,4.1,13.0,5.7,0,3.3,0.4,9.5,2.97,4.74
"2016-01-31","Lane",8.6,-2.2,68.3,0,3.4,12.7,4.8,0.7,3.3,1.3,5.2,1.67,2.58
"2016-02-01","Lane",7.1,-1.2,70.9,0.76,5.3,13.7,3.9,1.3,3.1,1.8,4.8,1.57,2.43
"2016-02-02","Lane",-1.1,-5.7,92.5,3.56,9.9,18.0,1.8,0.6,2.4,1.2,8.9,0.53,0.75
"2016-02-03","Lane",-1.0,-14.4,77.9,0.25,4.1,8.3,0.6,0,1.2,0.6,14.7,0.89,1.29
"2016-02-04","Lane",2.2,-14.9,65.3,0.25,3.2,6.7,0,-1.0,0.7,0.2,14.7,1.42,2.18
"2016-02-05","Lane",4.8,-9.8,74.8,0,2.9,8.8,-0.2,-1.1,0.2,0,13.4,1.25,1.82
"2016-02-06","Lane",8.4,-10.3,66.6,0,3.6,8.8,-0.2,-1.8,0.1,-0.1,13.9,1.89,2.90
"2016-02-07","Lane",6.7,-1.3,58.1,0,6.2,13.0,0,-0.4,0.1,0,13.5,2.21,3.43
"2016-02-08","Lane",5.5,-4.2,50.4,0,6.4,13.7,0,-0.6,0.2,0.1,14.2,2.43,3.82
"2016-02-09","Lane",7.9,-4.9,69.5,0,2.8,7.6,-0.1,-1.3,0.2,0,14.8,1.76,2.60
"2016-02-10","Lane",22.1,-0.3,52.2,0,4.5,11.1,2.7,-0.1,1.3,0.1,15.4,4.93,7.98
"2016-02-11","Lane",18.1,-4.4,69.1,0,2.9,12.2,7.1,0.2,4.5,0.6,14.0,3.06,4.77
"2016-02-12","Lane",6.6,-3.4,84.6,0,3.1,8.1,5.4,0.7,3.8,1.4,11.2,1.16,1.59
"2016-02-13","Lane",6.5,-5.8,79.9,0,4.6,9.5,1.3,0.4,2.2,1.0,7.4,1.42,2.13
"2016-02-14","Lane",11.7,-4.4,62.0,0,2.9,13.4,4.8,0.3,3.2,0.8,11.4,2.25,3.43
"2016-02-15","Lane",17.5,-3.1,64.0,0,3.8,9.9,7.6,0.8,5.3,1.5,14.9,3.39,5.29
"2016-02-16","Lane",12.9,-0.7,60.5,0,4.2,11.8,9.5,2.4,6.8,3.1,15.0,2.77,4.24
"2016-02-17","Lane",20.6,-3.3,53.8,0,2.8,9.9,11.2,1.3,7.8,2.5,15.0,3.51,5.46
"2016-02-18","Lane",31.2,3.2,35.8,0,5.7,13.9,14.2,3.8,10.4,4.7,15.6,8.54,14.01
"2016-02-19","Lane",18.8,-0.2,31.0,0,3.1,13.6,13.2,5.1,10.4,6.4,13.3,3.91,6.20
"2016-02-20","Lane",20.0,-0.2,39.1,0,3.5,12.5,14.6,4.4,11.1,5.8,16.9,4.19,6.57
"2016-02-21","Lane",12.1,-3.4,58.8,0,3.5,10.2,11.7,3.9,9.5,5.6,15.4,2.69,4.07
"2016-02-22","Lane",12.3,-4.9,57.0,0,2.8,9.2,9.5,2.3,7.9,4.2,11.8,2.24,3.34
"2016-02-23","Lane",8.7,-4.5,64.1,1.78,5.4,14.6,8.7,2.9,7.5,5.2,15.6,2.62,4.01
"2016-02-24","Lane",13.7,-6.1,47.0,0,5.2,15.4,8.6,1.0,6.7,2.8,17.9,3.89,6.11
"2016-02-25","Lane",7.3,-8.4,53.2,0,3.7,11.5,7.8,0.8,5.8,2.5,18.1,2.39,3.58
"2016-02-26","Lane",17.2,-5.3,42.4,0,4.0,11.5,10.6,0.9,7.5,2.3,18.1,4.17,6.52
"2016-02-27","Lane",25.2,-3.4,40.1,0,4.7,12.3,13.1,1.6,9.4,3.2,18.0,6.26,10.00
"2016-02-28","Lane",17.7,-1.0,36.9,0,6.9,16.3,13.3,6.2,10.6,7.1,18.4,5.10,8.05
"2016-02-29","Lane",20.1,-0.9,42.7,0,4.8,14.7,13.1,4.4,10.6,5.8,14.7,4.89,7.73
"2016-03-01","Lane",14.4,-0.5,46.0,0,4.4,12.7,13.1,4.9,10.6,6.6,18.9,3.85,5.89
"2016-03-02","Lane",19.3,-2.3,44.4,0,3.5,15.2,10.3,4.1,9.1,5.9,9.0,3.95,6.23
