Date,vwc5cm,vwc10cm,vwc20cm,vwc50cm,soilMoisture_m_top1m,soilMoisture_m_top1.5m,soilMoisture_m_top2m,tSoil20cm_C,tSoil5cm_C,tSoil10cm_C,tSoil50cm_C
2017-06-21,0.3719208333333333,0.39837500000000003,0.37590833333333334,NA,0.37729427083333333,0.5652484375,0.7532026041666666,NA,NA,NA,NA
2017-06-22,0.37274583333333333,0.39842916666666667,0.37435,NA,0.376035625,0.563210625,0.750385625,NA,NA,NA,NA
2017-06-23,0.369,0.3984416666666667,0.37331666666666663,NA,0.37487729166666667,0.561535625,0.7481939583333334,NA,NA,NA,NA
2017-06-24,0.36080833333333334,0.39446666666666663,0.3727,NA,0.373440625,0.559790625,0.746140625,NA,NA,NA,NA
2017-06-25,0.35852083333333334,0.3920166666666667,0.37212083333333335,NA,0.37259302083333334,0.5586534375,0.7447138541666667,NA,NA,NA,NA
2017-06-26,0.3565291666666667,0.3895125,0.3705,NA,0.370878125,0.556128125,0.741378125,NA,NA,NA,NA
2017-06-27,0.3611,0.3901458333333333,0.36995,NA,0.37080093750000004,0.5557759375,0.7407509375,NA,NA,NA,NA
2017-06-28,0.3649041666666667,0.3924916666666667,0.3693208333333333,NA,0.3707273958333333,0.5553878124999999,0.7400482291666667,NA,NA,NA,NA
2017-06-29,0.3668,0.3943083333333333,0.36914583333333334,NA,0.37085708333333334,0.55543,0.7400029166666666,NA,NA,NA,NA
2017-06-30,0.37,0.3949,0.3692,NA,0.3711875,0.5557875,0.7403875,NA,NA,NA,NA
2017-07-01,0.363625,0.39442083333333333,0.3670625,NA,0.3688565625,0.5523878125,0.7359190624999999,NA,NA,NA,NA
2017-07-02,0.36599166666666666,0.39468333333333333,0.363575,NA,0.366089375,0.5478768749999999,0.7296643749999999,NA,NA,NA,NA
2017-07-03,0.3667666666666667,0.39589583333333334,0.35968333333333335,NA,0.3629305208333333,0.5427721875,0.7226138541666667,NA,NA,NA,NA
2017-07-04,0.36488333333333334,0.3957458333333333,0.35649583333333335,NA,0.3600686458333333,0.5383165624999999,0.7165644791666667,NA,NA,NA,NA
